Age,Gender,Education,Introversion Score,Sensing Score,Thinking Score,Judging Score,Interest,Personality
29.0,Female,0.0,1.64937,5.856951257587245,3.63261,5.183461626915298,Sports,INFJ
,Female,0.0,,6.162209109055938,6.66667,6.249646289735218,Unknown,ESTJ
28.0,Female,,3.65027,6.137394568933205,9.28303,2.472787691284631,Arts,ESTP
25.0,Female,1.0,,6.938028787477374,7.89794,6.087538083874797,,ESTP
,Male,0.0,1.68275,6.868932818395085,2.33712,4.8972650098138,Sports,ISFP
26.0,,1.0,0.24833,7.049131298698521,9.75167,2.802447538206034,Unknown,
27.0,,0.0,2.65191,7.62743923666522,7.42669,3.1324485503536614,,
24.0,,,9.2027,,2.82748,,Unknown,ENFP
34.0,Female,,6.39078,4.915008860108907,9.92188,4.578175128140185,Others,ENTP
,Female,1.0,7.77627,5.879191741047793,5.64043,5.440611100572445,Arts,ENTP
30.0,Male,0.0,4.92346,7.420798401028656,4.83204,6.072067075540365,Unknown,ESFJ
29.0,Male,0.0,4.16954,,7.38713,7.305510132689343,,INTJ
23.0,,,9.05568,5.889722309341794,,7.138327089666012,Technology,ENFJ
,Male,,4.67871,8.040719552469847,9.88908,6.1421728344140725,,ISTJ
,Male,,5.74512,1.1680242263751008,2.51979,,Arts,
,Male,,1.3476,,2.27648,7.15697193052752,Arts,ISFJ
,Female,1.0,5.40763,6.447529642816941,5.87289,,Arts,ESTP
25.0,Male,0.0,9.93686,7.2014796856463335,8.79948,4.898499346672141,Others,
30.0,Male,,,6.292360412708986,,7.203576807160658,Unknown,ESTJ
28.0,Female,0.0,0.47346,,5.84681,5.322647079023538,Others,ISTP
26.0,Male,0.0,5.09375,,9.58736,,Sports,ENTJ
26.0,Female,0.0,4.72305,6.315526905038633,5.62712,5.3416503824711405,Unknown,ESTP
,Female,,3.82631,6.8388501419442935,0.18192,7.442540592105598,Arts,ESFJ
23.0,Female,0.0,0.03394,5.08692754494109,3.68783,,,INFP
23.0,Female,0.0,,6.42448117489221,1.97197,7.42855876193037,,ESFJ
24.0,Male,0.0,7.01378,3.379199975555505,,,Arts,ENFP
21.0,Male,0.0,0.51834,4.250710532275674,8.77713,5.971277990890505,Sports,
34.0,Male,0.0,1.23727,,9.80111,,,ISTJ
25.0,Male,0.0,0.41882,,1.52657,4.591009866288016,Sports,ISFP
25.0,Female,0.0,6.465,,1.42658,,Unknown,ESFJ
31.0,,1.0,2.74982,6.179555682006134,3.67152,,,ISFP
,,0.0,4.39971,3.9156028860418,0.27381,5.903827785310597,Unknown,
21.0,Female,0.0,1.5701,,0.34386,,Technology,INFJ
,Female,1.0,0.08104,7.284915344197987,3.59145,,Arts,INFP
28.0,Male,0.0,0.25266,7.117045609394372,6.94907,6.267960915605781,Sports,ISTJ
27.0,Male,0.0,2.60443,6.675293808618468,6.95374,6.948383037226041,Unknown,ISTJ
31.0,Male,,8.21621,7.182191443999955,5.78823,5.665423961631561,Technology,ESFP
21.0,,,2.07877,5.218933529593138,6.85174,,Sports,INTJ
28.0,,0.0,0.14572,5.390096159590687,6.63908,6.687858389536551,Arts,INTJ
,Male,0.0,3.13469,5.419127738192943,1.27418,2.260130349939038,Unknown,INFP
,Male,1.0,1.74315,,0.60551,7.153433128895376,Unknown,INFP
28.0,Female,0.0,4.12457,5.1075438185150634,8.29161,6.574833968849951,Technology,INTJ
,Female,,,,2.58922,6.430464808332895,Unknown,ISFJ
33.0,Female,1.0,1.24184,7.283005425406823,7.64623,6.2181446995871426,Others,ISTP
23.0,Female,0.0,4.95558,,8.29982,6.904069252387946,Others,ESTJ
32.0,,1.0,,4.36784282871979,,2.3894947242656546,Unknown,INFP
,Male,1.0,7.43973,6.458664043547524,,4.285482592881926,Unknown,ESFP
31.0,Male,0.0,7.03279,,7.67226,4.930128462348739,Unknown,ESTP
22.0,Female,0.0,8.84891,3.649608261757723,8.39875,5.254310497486357,Unknown,ENTP
27.0,Male,0.0,,7.087762695039464,9.93437,6.446604787031845,,ESTJ
20.0,Male,,8.84473,4.434578834030276,2.29269,5.702400136624452,Others,ENFP
,Female,0.0,2.93422,,0.3387,7.495610963929774,Unknown,ESFJ
29.0,Female,1.0,7.84371,6.152156207480247,0.89516,3.4827036618493676,Technology,ESFP
29.0,,,9.46124,6.113207343439553,4.48858,6.3407016524206075,Others,ESFJ
28.0,Male,1.0,2.31132,5.7073274042986935,3.45106,5.718968508216814,Others,INFP
29.0,Male,0.0,9.95518,,0.00782,,Sports,ENFP
34.0,Female,1.0,0.48194,6.389533067347896,9.61114,2.984572632592444,Others,ISTP
24.0,Male,1.0,4.27848,6.516681774347294,7.98671,4.6601851794219655,,ISTP
27.0,Male,,3.67219,6.068606212073529,,,Others,
24.0,Female,0.0,8.33821,5.853701267230715,,,,ENTJ
36.0,Female,0.0,,4.208808050199937,,,Others,
29.0,,0.0,1.59613,6.073763949491805,0.47731,6.53045049805248,Others,INFJ
27.0,Male,,6.21505,6.137824523259857,1.27413,3.1206748758333704,Unknown,ESFP
32.0,Female,0.0,2.16092,3.6949111200313114,7.73209,4.006511407399518,Technology,INTP
20.0,Female,0.0,,4.664094426279733,5.32641,4.666870127993093,Sports,ENFP
30.0,Female,0.0,3.31617,6.1669765902609335,2.19703,,Sports,ISFJ
24.0,,0.0,1.32508,5.785545149477109,8.94263,,Sports,INTJ
26.0,Male,0.0,9.42664,,3.62776,6.401964637094058,Technology,
41.0,Female,1.0,2.72394,,,1.4677394548112224,Arts,ISTP
28.0,,,1.96955,,3.93671,,,INFJ
29.0,,,2.17311,,5.34311,1.2727681698855466,Others,
,Male,0.0,2.08334,6.351842813096973,6.96499,6.062715376403535,Unknown,
,Male,0.0,4.06249,6.931876568917694,9.39207,5.595066894718611,Sports,ISTJ
27.0,Male,0.0,7.92811,6.4130944764140985,8.47101,3.6158787186153822,Arts,ESTP
27.0,,0.0,,6.178304751535872,,3.598736689413978,Arts,ESTP
25.0,,0.0,1.34839,,8.94313,8.116667074086692,Arts,ISTJ
,Female,0.0,,6.257478707108786,5.63206,6.335345740162875,Unknown,INTJ
35.0,Female,0.0,8.37643,,2.40756,,Unknown,
30.0,Female,,0.3063,6.1179333625047745,3.4304,,Unknown,ISFJ
29.0,,0.0,7.02059,5.613968625691005,,6.18583848132141,Others,ENFJ
23.0,Male,,7.70007,,3.31106,6.974176898066011,Unknown,ESFP
,Female,0.0,4.91952,4.4614270873704,9.81772,6.9711232725818615,Arts,ENTJ
27.0,,0.0,8.45947,6.499580293023984,8.7322,6.703065118078448,Technology,ESTJ
19.0,Male,0.0,6.85211,5.948523131899604,,6.058186517124611,Arts,
28.0,Male,0.0,,6.902751355574723,6.46665,6.073934049560859,Unknown,ESFJ
,Female,0.0,,6.781863032056439,2.72544,6.595188631651293,,ISFJ
38.0,,0.0,,6.378945976388701,,,Unknown,ISTP
39.0,,1.0,0.67977,5.425062970117977,,5.711193626252223,Unknown,
32.0,,0.0,7.21515,6.560580216009003,3.09305,6.244097170992882,Unknown,
,,0.0,8.23301,4.423068314042241,5.14207,4.4796001638847365,Unknown,ENFP
21.0,Female,0.0,0.19625,5.620894979125332,8.36486,6.9314909478823035,Arts,
,Male,0.0,4.70054,6.532540292784811,8.5823,,Unknown,
32.0,Female,0.0,5.92122,6.618311068300404,5.08065,6.734079915800842,Others,ESFJ
23.0,,,2.74738,4.766039615081126,2.29969,6.373143815098016,Unknown,INFJ
31.0,Male,0.0,1.15942,6.218161867750831,5.92687,5.497659313994982,,ISFP
23.0,Female,0.0,,,2.60756,7.40801118738918,Unknown,INFJ
24.0,Female,0.0,3.55903,6.383658762349072,9.15162,6.8257739705031115,Arts,
34.0,,,5.16486,8.187607929914131,8.44889,,Others,
27.0,Male,,2.11264,7.669233321734018,9.60017,1.2385495943310367,Others,ISTP
29.0,Male,0.0,5.16451,6.821438570426292,2.97256,6.077966209262752,Technology,
24.0,Female,0.0,0.65635,5.907827847388964,1.98582,2.7919323293892204,,INFP
19.0,Female,0.0,2.58368,4.373825934668333,,5.239673435730593,Sports,INFJ
25.0,Male,,4.75981,,4.21286,4.245033187210092,Technology,ESFP
27.0,Male,0.0,,,7.83388,,Technology,ISTJ
,Male,0.0,1.85557,6.34403695029276,,6.564052048311328,Arts,ISTJ
,Female,0.0,2.0075,6.103104526935774,9.72504,4.69893894690647,Unknown,ISTP
33.0,Female,0.0,6.01427,6.943591489998326,5.27183,6.912153450494738,,ESFJ
28.0,Male,0.0,,,2.14304,5.920068766327739,Sports,ISFJ
,Male,0.0,7.98309,,7.54617,2.192110766150509,,ENTP
,Male,1.0,2.21428,5.0151273816520465,,3.215145419890952,Others,INFP
25.0,Male,0.0,7.28864,7.166621690098609,1.0341,,,ESFJ
30.0,Male,,3.65792,6.121444929787521,7.66045,4.340860928975841,Others,ISTP
,Male,1.0,9.2355,8.475709149118154,5.02455,4.175379858051244,Unknown,ESFP
32.0,Male,,9.42229,3.757881723703376,1.89323,,Technology,
,,1.0,9.28937,5.625144012106134,7.44159,2.603128469715968,Technology,ENTP
33.0,Female,0.0,4.03426,7.632968123018369,9.98437,5.23522250764242,Sports,
21.0,,1.0,2.15962,5.802184930344451,2.57656,4.772424267438537,Unknown,INFP
,Female,1.0,4.91049,6.757289012333477,6.9842,2.123921002539195,,ESTP
25.0,Female,1.0,9.75755,,8.58078,5.569519171510739,Unknown,ESTP
26.0,Female,0.0,4.75912,7.021254229511134,5.06524,6.006579293404014,Unknown,ESFJ
22.0,Female,,9.1486,6.309654464688371,,3.7997552964896064,Unknown,
26.0,Female,,9.30433,3.904408482276922,,6.269108133262905,Technology,ENFJ
28.0,Female,0.0,2.98993,7.1507897935898095,6.48411,,Unknown,
21.0,Male,,0.24719,5.893470052531907,9.59251,2.8888192947438003,Arts,INTP
25.0,Male,,1.06531,7.4736066208533485,2.4582,,Sports,ISFP
32.0,Male,1.0,1.10074,6.22722519537186,3.12392,3.1340713254267527,Technology,ISFP
40.0,Female,0.0,,4.730236465716892,1.20926,5.879264526545148,,ENFJ
,Female,,,3.9999458105317207,1.99774,6.434698424039188,Technology,
26.0,Female,0.0,7.9678,6.720967510355929,1.76654,,Sports,ESFJ
38.0,Male,0.0,8.83472,4.024434056463215,8.39082,6.428012073461873,Unknown,ENTJ
23.0,,0.0,1.22249,3.131608039060433,9.87078,3.8461345052944393,Sports,
,Female,1.0,,,9.72722,3.211755908184606,Technology,ENTP
24.0,Male,0.0,,7.074976792722808,,4.982914217954795,Technology,ESFP
27.0,Female,0.0,2.03677,2.3901352041046087,2.98533,5.238814117392869,Sports,INFJ
,Male,,,,8.1983,6.083781837577293,Sports,INTJ
,Female,,7.7433,7.086778689162953,,4.829013633585353,Unknown,ESTP
27.0,Male,0.0,3.26649,6.354698830237951,3.32895,4.903398507124439,,ISFP
27.0,Female,0.0,6.8469,6.5028736312735305,6.68549,,,ESTJ
,Male,,1.4619,6.325033786494828,,6.947941946126191,Unknown,ISTJ
20.0,Female,,3.95402,2.125051641745784,5.58874,5.44369444971707,Sports,ENTJ
31.0,Female,0.0,8.84349,5.3674127792282995,6.19366,4.204638142686333,Others,ENTP
25.0,,0.0,7.93322,,7.21895,6.354111560416742,,ESTJ
,Male,0.0,1.64867,6.926917682489604,4.4481,7.481830836710036,Unknown,
31.0,,,1.1307,7.015069262938277,9.64977,6.091018172619415,Arts,
23.0,Female,,5.89543,,6.45875,7.606612965084707,Arts,ESTJ
23.0,,0.0,5.88802,7.652350505301885,8.75555,6.188041416778385,Unknown,ESTJ
25.0,,0.0,,,3.36279,,Unknown,ESFJ
25.0,,0.0,8.18904,6.119191282269202,2.18851,6.464025654792398,Sports,ESFJ
34.0,Female,,6.65063,5.296845664081396,4.20038,4.430139616473319,Unknown,
28.0,Female,0.0,,6.879968474327318,1.18138,7.732039121160136,Unknown,ESFJ
24.0,,0.0,3.3556,7.411048788612188,2.34955,,Unknown,ISFJ
28.0,Female,0.0,6.28973,6.9753765608482325,1.06355,6.268518946914355,,
23.0,Female,1.0,8.76887,,,2.7681637368746532,Others,ENFP
,Female,0.0,3.24692,6.124798559731372,8.87026,6.220107084134811,Others,ESTJ
22.0,Female,1.0,2.89709,5.9802227333767215,,5.900718713813277,,INTP
,Female,1.0,9.96971,,0.28127,,Technology,ESFP
35.0,Female,1.0,2.88682,6.113709141045137,8.07534,3.648673615043293,Unknown,ISTP
27.0,Male,1.0,0.68642,5.474222729742152,8.03479,6.198320896972344,Others,
26.0,Male,0.0,3.22727,6.4704653742141955,7.36448,6.827541873312743,,ISTJ
,,,4.73115,,1.3287,6.312402417952333,Unknown,ENFJ
34.0,Male,0.0,8.11649,,1.01524,6.047270516818749,Unknown,ENFJ
32.0,,0.0,6.24896,6.126281611836889,1.9878,6.0480889007749505,,ESFJ
,Female,0.0,0.81681,6.270625812422092,8.33925,4.715520516414801,Unknown,ISTP
,,1.0,3.70724,5.56450243258548,2.68551,3.7422797095608455,Unknown,
,Male,0.0,,6.257508928957651,9.64818,7.371340727571305,Unknown,ESTJ
28.0,,1.0,1.32308,,8.94751,4.196798210115186,,ISTP
37.0,Female,0.0,4.27862,,2.17312,6.279920509310748,Unknown,ISFJ
23.0,Female,0.0,,2.7286076827356895,0.7788,5.529398074287039,Technology,
30.0,Female,0.0,3.38693,,1.31916,4.467894348396223,Unknown,
24.0,Male,1.0,,6.5651863887153485,1.31183,5.622817914566101,,ISFP
29.0,Male,0.0,0.38731,,1.20066,,Sports,
21.0,Male,,,5.795107686377124,7.11001,,Sports,ENTJ
,Male,,4.69138,6.259620160322856,5.72433,5.071622616362666,Others,ESFP
21.0,Female,0.0,6.3475,,6.62136,3.8446436939439153,Technology,ENTP
35.0,,0.0,2.04194,7.614546819986463,0.36823,7.124494578723461,Technology,
,Male,1.0,,,9.95964,2.865691208910345,,
,Male,0.0,1.46213,4.0376582472058455,4.49105,6.175263276507997,Others,
27.0,Female,,,,6.14274,6.852643453802009,Arts,INTP
30.0,Male,0.0,7.91631,4.294710979892594,7.3643,7.070209477256096,Others,ENTJ
26.0,Male,1.0,0.15344,5.598901934968338,6.6625,5.350746264615067,,
26.0,Male,0.0,0.84761,6.000138858096734,,,Others,INFP
26.0,Male,1.0,2.18559,3.3430349847734746,8.44164,2.315929873471578,Others,INTP
27.0,,0.0,6.58417,4.025647583446769,7.84064,4.668737046657994,Arts,ENTP
22.0,,,3.76127,3.238854755623309,9.48575,,Arts,INTJ
23.0,Male,0.0,8.62059,6.026249671525924,9.67799,,Others,
37.0,Male,0.0,5.42602,4.267024886952942,7.25648,7.266524954236284,Unknown,INTJ
26.0,Female,0.0,,6.675376309506646,0.10546,2.9126803547923075,Unknown,
27.0,Male,,9.12654,4.32543328452936,4.51215,,Unknown,ENFP
27.0,Male,0.0,1.4669,4.446392783043679,4.41024,5.120200342893338,,INFP
,Female,0.0,6.70079,6.052084973230813,0.90689,6.007346861509511,Others,ENFJ
,Male,0.0,4.61771,3.993928769151137,0.89967,4.403338315938401,Unknown,
23.0,Male,0.0,5.78899,8.052481788839561,,,Others,ESTP
24.0,,0.0,2.72889,4.360169830381194,4.39358,5.069314449353648,,INFP
25.0,Male,0.0,6.67045,4.848092231100751,,,Technology,
29.0,Female,0.0,6.01083,4.1164780086373876,0.14597,5.800805298180388,Unknown,
28.0,Male,0.0,8.69608,6.476783289057203,8.803,6.868467133547053,Others,ESTJ
33.0,Female,,9.3009,2.3976933671105485,2.63439,,Unknown,ENFJ
28.0,,,2.90433,7.896891518528533,,,,ESFJ
,Male,,9.94734,,8.13075,4.049213316388704,Sports,ESTP
,Male,1.0,8.0933,4.532062585104612,8.14412,4.807690844352013,Unknown,ENTP
29.0,Male,0.0,0.17617,7.119573623023001,,5.849622341732387,,ISFP
25.0,,0.0,1.48385,3.9717396147288975,1.62722,6.1437924314071095,,INFJ
24.0,Female,0.0,2.84671,,7.50182,,Unknown,INTJ
26.0,Female,1.0,2.58475,7.243202704079296,1.27089,6.499838669142608,,ISFP
,Female,,5.08853,7.563423175824519,5.88274,3.5728349770282435,,ESTP
19.0,Male,0.0,1.81161,5.411358638567956,,5.037131693389891,Sports,INTJ
22.0,Male,1.0,,3.153712075845723,7.25405,5.242331742224359,,ENTP
26.0,Female,0.0,3.95895,6.170657503315561,9.47047,7.064192824289278,Unknown,ISTJ
29.0,Male,1.0,7.95625,6.612545685113787,,,Unknown,ESFP
31.0,Male,0.0,7.10069,4.750902915214612,9.26769,5.173034179715108,Arts,
21.0,Male,0.0,8.58353,,9.99265,6.549324416164844,Sports,ENTJ
29.0,,1.0,4.60628,6.883531948399009,6.49975,5.165977963497647,Technology,ESTP
27.0,Male,1.0,5.1459,6.257922707295124,,5.089300226694597,Arts,ISFP
30.0,,0.0,4.24382,,5.16114,6.044195358827685,Others,ISFJ
35.0,Female,0.0,0.47187,6.265210907475147,9.42399,7.2335945071293315,,ISTJ
21.0,,0.0,0.32796,5.022379890846468,6.86796,5.241199690916227,Unknown,INTP
,Male,0.0,,6.587711996337445,,,Technology,ESTP
,,1.0,1.7595,6.365704647841932,1.96762,5.6156220488652355,,ISFP
23.0,,1.0,9.36933,4.0057146483677,2.61205,4.922243893008647,Arts,
30.0,Female,0.0,3.39292,6.112467477111441,0.18945,6.406563118011542,Arts,
,Male,0.0,6.09255,6.31212906860906,9.65264,,Unknown,ESTP
33.0,Female,1.0,6.27159,6.545274098734534,3.13806,3.393903132160232,Others,ESFP
32.0,,,5.62521,5.439554983172762,8.68874,6.462817494503436,Technology,ENTJ
,Male,0.0,6.74783,6.581112666274391,,7.306934305276457,Unknown,ESFJ
,Male,0.0,5.89672,6.2144051968185225,8.77065,4.958256883941671,,ENTP
28.0,Female,1.0,1.3147,6.267824266080754,5.90504,,Unknown,ISTP
33.0,Male,0.0,9.10589,,6.62607,6.464975167534552,Others,ESTJ
31.0,,0.0,,,7.58235,6.393596403145062,,INTJ
32.0,Female,,6.11016,7.624174404755002,9.56299,,Unknown,ESTP
32.0,Female,1.0,8.99341,3.457364131564022,9.0471,5.850799453280237,Unknown,
29.0,Female,,,6.841461726918798,1.31912,2.8266126900109176,Sports,ISFP
30.0,Male,0.0,,,,3.6111221550385615,Unknown,ISFP
27.0,,0.0,,7.092955761136179,9.45861,6.294008733431675,Arts,ESTJ
23.0,Female,1.0,1.9134,5.841932097068301,8.48688,4.347453976554317,Sports,INTP
,Female,1.0,1.18546,,,,Unknown,ISTP
21.0,,1.0,5.45721,4.3622717150945185,0.48721,4.964245998592041,Arts,
27.0,Female,1.0,,6.138959467156673,2.47415,3.0752023177055197,Sports,
22.0,,0.0,3.20621,,3.34415,6.821160064978135,Unknown,
23.0,Female,0.0,0.72679,4.743874034337186,2.3955,4.374971586034491,Arts,INFP
31.0,Female,0.0,4.26692,6.454796436170774,2.18922,6.076949924943632,Unknown,ISFJ
24.0,Male,0.0,,6.429158783726503,5.71866,5.298717970566591,Unknown,ISFP
,Male,0.0,,3.947260777922964,8.87722,7.28375332001654,Technology,ENTJ
26.0,Female,0.0,1.318,,0.01186,5.365612750440061,Arts,ISFP
32.0,Male,0.0,4.55774,5.2491851983791395,4.7048,2.474980860109981,Technology,INFP
22.0,,,4.18171,6.815243711012963,5.76266,0.0,Others,ISFP
22.0,Female,0.0,4.89136,6.177230202997623,3.34292,4.822658209498735,,ENFP
,,0.0,1.244,7.571607778895133,1.96154,5.5701678872911575,Unknown,ISFP
,Female,1.0,2.29499,3.506279307236837,0.95827,4.5172536658745965,Unknown,
33.0,,1.0,9.6139,6.563103192854161,3.92948,5.633169750112044,Arts,ESFP
24.0,,,1.25192,6.45322082168308,,7.6172979214409855,,
,,,1.53097,6.934362996615924,7.11672,,Arts,ISTJ
30.0,,0.0,1.09246,4.415154054910051,7.1463,4.462350090857182,Unknown,INTP
27.0,Male,,2.60443,6.675293808618468,6.95374,6.948383037226041,Unknown,ISTJ
26.0,Female,0.0,,6.711013856624196,,5.44603604658247,Sports,ISTJ
24.0,Female,0.0,9.31758,5.790130605565121,1.71303,7.733544084822145,Unknown,ENFJ
23.0,,,7.38826,5.5941262866234505,7.03692,6.244631409606116,Others,ENTJ
28.0,Male,0.0,8.82022,6.969130024469363,5.08572,,,ESFJ
20.0,Male,0.0,2.20473,5.949788055034511,0.96824,2.489237409180615,Unknown,INFP
,Male,0.0,2.96877,3.601481318408548,,,Others,INFJ
,,0.0,4.06474,6.587303382180572,,6.356337122190664,Sports,ISFJ
28.0,Female,0.0,3.78911,6.268452356606171,8.56358,6.4165570081214085,Unknown,ESTJ
30.0,Female,0.0,6.56055,6.696228733370344,7.31793,6.180642542751019,Others,ESTJ
28.0,Male,1.0,,6.528185514380705,5.47674,1.024865076312473,Unknown,ISFP
,Female,0.0,3.81903,7.08024903017653,6.90421,4.6517770745384635,Sports,ISTP
25.0,Female,1.0,6.09143,6.45068745926479,6.84808,2.9309251320463368,Arts,ESTP
19.0,Female,1.0,,5.520257393504924,4.2138,2.2633022906064335,Unknown,INFP
30.0,Male,1.0,,5.5842557688916825,4.1006,3.147422022269666,Unknown,INFP
31.0,Female,1.0,7.48634,6.2458051198740865,4.38689,3.7255857646592054,Arts,ESFP
25.0,Male,1.0,9.81987,3.956018920532855,9.73523,,Sports,ENTP
20.0,Male,0.0,4.06452,4.621016458730292,9.3449,5.061117065730512,,INTJ
27.0,Male,0.0,0.25993,7.043832741881909,0.66792,6.21029566108042,Technology,
23.0,Male,0.0,1.50823,4.690150041832851,9.7353,6.69265022753735,Unknown,INTJ
23.0,Female,0.0,1.94294,7.378116560856507,3.11541,6.698401734229198,Sports,ISFJ
30.0,Male,0.0,,,5.62144,,Sports,ISFJ
23.0,Female,1.0,,5.717438478336134,9.37596,5.998331842906961,Others,ENTP
,Male,1.0,6.97325,6.252388139745642,5.01292,,Others,
21.0,Female,0.0,,,6.00857,4.2924230991128445,Unknown,
25.0,Female,0.0,,,4.18947,7.001945768541708,Arts,ISFJ
21.0,Female,0.0,2.4255,4.7050556461029664,7.98807,6.7568502105353865,,
26.0,Male,0.0,8.1469,,0.64738,7.990533994416367,Others,ENFJ
,Male,0.0,6.66866,5.162908842012744,9.52323,6.377136449188654,Technology,ENTJ
23.0,Male,0.0,8.37436,6.367173375946729,,2.810223682602601,Sports,ESFP
31.0,Male,0.0,1.02075,6.347537991482796,9.84763,4.195562972820574,Unknown,ISTP
32.0,Male,,0.8559,7.277923683038388,7.22556,7.6463599689240755,,ISTJ
,Male,1.0,6.86016,7.056517831691663,8.80654,,,ESTP
39.0,Male,0.0,2.7997,6.634609236802313,1.47124,5.461454245479786,Unknown,ISFP
45.0,,0.0,9.68401,6.699288733908927,7.12866,6.405828997565452,Arts,ESTJ
,Male,0.0,7.03043,,4.14911,5.273211251732033,,ESFP
24.0,Male,,4.47523,,2.07866,5.473790486759678,,
26.0,Male,0.0,,,7.14785,6.847533509023118,Arts,ESTJ
27.0,,0.0,9.61117,6.269440895732479,7.54379,6.33201643093064,Unknown,ESTJ
24.0,Female,,3.18151,6.159758652335645,1.77926,6.3698427562082856,Sports,
,Male,,1.02898,7.447915772932058,3.89323,2.5929510941561213,Unknown,
,Male,,0.53525,4.499177708935917,,5.075902081117563,Unknown,INFP
34.0,Male,0.0,4.15392,,6.66369,5.784893742647944,Unknown,ISTP
28.0,,1.0,1.30962,5.9658190497948205,3.39397,,Sports,INFP
29.0,Male,,2.76646,6.239567387333986,1.637,,,ISFP
25.0,Male,0.0,7.69775,6.031855875225316,0.02701,2.9387881936040148,Others,ENFP
,Male,0.0,3.36795,3.051512762447358,6.46783,6.33843252416445,Unknown,INFJ
,Male,,2.8627,6.270571124350361,7.66533,4.251232844513616,Unknown,ISTP
27.0,Female,0.0,0.78042,4.23916262986334,6.32246,,Unknown,INTJ
36.0,Female,0.0,1.53097,6.934362996615924,7.11672,,Arts,
,,1.0,,,7.48887,6.142510660289951,Arts,ENTP
33.0,Male,1.0,4.51071,6.414063190575122,4.06956,4.269730961965219,Others,ISFP
34.0,Female,1.0,2.30775,,6.22263,4.492826308229924,Others,INTP
25.0,Female,1.0,7.82574,4.013555832012579,0.83085,3.4666584334640103,Unknown,ENFP
24.0,Male,,2.23125,6.13632999282585,2.36599,,Unknown,ISFJ
25.0,Male,0.0,8.72398,,7.00246,5.475160682784804,,ESTP
24.0,Male,0.0,3.38987,4.499199014046455,,6.349521042032671,Unknown,INTJ
25.0,Female,1.0,,4.561651463772691,,3.20387559590149,Others,ENTP
36.0,Female,0.0,8.88224,6.95874787068464,0.48416,6.046678646020473,Others,ESFJ
37.0,Male,1.0,9.10959,6.015055117639564,4.11764,,,ENFP
31.0,Female,1.0,,,,4.60090368360019,,
25.0,Female,0.0,9.33047,6.954326759405291,2.95132,2.8681856443085527,Technology,
29.0,Female,1.0,4.39401,,8.56061,3.786316565010366,Technology,INTP
23.0,Male,0.0,9.62467,,7.11288,7.108652420487377,,
25.0,Female,0.0,,6.6571867187347875,,6.536515645951782,,ESFJ
36.0,Male,0.0,9.01333,6.219204877465165,9.14301,5.859836473880768,Sports,ESTJ
28.0,,0.0,9.66809,6.184165678222628,7.31637,,Arts,ESTP
34.0,,,9.945,6.11055045543318,8.51854,,Arts,ESTJ
,,0.0,3.2177,5.6278496347566955,5.36374,6.4748610011377545,Technology,INFJ
20.0,Female,0.0,3.27577,5.277120139309014,1.45255,6.455153145479132,Technology,INFJ
27.0,,0.0,,4.9773005935534735,7.78451,3.1908946524864037,,ENTP
22.0,Male,,7.92869,5.676795429420309,8.08287,6.013486254067775,Others,
